1,2,3,4,5,6,7,8,label
27010.5859375,-13434.4267578125,-26947.12890625,-35302.32421875,-17406.220703125,-39049.37109375,-52734.6953125, -50176.44921875,0
27714.93359375,-12783.1865234375,-25899.32421875,-34878.80078125,-16344.4892578125,-38489.34765625,-51827.5703125, -48719.42578125,0
29361.453125,-12340.9345703125,-22664.802734375,-34760.0234375,-15598.1875,-38239.02734375,-49471.83203125, -47204.8515625,0
29655.802734375,-12792.283203125,-21695.296875,-35176.640625,-16244.15234375,-38689.03515625,-48936.1953125, -47767.62109375,0
28117.109375,-13519.2958984375,-24414.720703125,-35522.59765625,-17396.853515625,-39212.6484375,-50998.27734375, -49647.5390625,0
26957.41015625,-13497.0341796875,-26976.23046875,-35342.578125,-17432.884765625,-39083.34375,-52749.6015625, -50215.09375,0
27699.265625,-12797.9833984375,-25956.232421875,-34889.93359375,-16366.3271484375,-38505.39453125,-51844.35546875, -48749.890625,0
29293.615234375,-12366.7060546875,-22759.865234375,-34774.328125,-15616.11328125,-38250.49609375,-49512.66796875, -47240.2109375,0
29594.984375,-12803.59375,-21757.2109375,-35170.8046875,-16230.4287109375,-38683.71875,-48956.734375, -47773.9921875,0
28112.458984375,-13514.3115234375,-24416.0625,-35520.96875,-17376.626953125,-39202.65625,-50963.36328125, -49618.28125,0
26911.701171875,-13501.7724609375,-27022.744140625,-35331.828125,-17448.0625,-39084.52734375,-52758.1640625, -50226.9609375,0
27597.296875,-12820.916015625,-26043.447265625,-34889.21875,-16371.6025390625,-38504.76953125,-51891.07421875, -48778.66015625,0
29170.009765625,-12418.8974609375,-22845.115234375,-34799.1171875,-15624.47265625,-38267.59375,-49556.8125, -47259.87890625,0
29551.041015625,-12818.345703125,-21775.0703125,-35178.8984375,-16222.0244140625,-38690.35546875,-48949.0234375, -47757.5625,0
28088.54296875,-13536.08203125,-24380.076171875,-35539.296875,-17368.244140625,-39215.28515625,-50922.4375, -49602.140625,0
26885.70703125,-13524.5712890625,-27019.19140625,-35346.01953125,-17451.705078125,-39095.28125,-52750.765625, -50247.21484375,0
27526.552734375,-12852.38671875,-26121.41015625,-34900.73046875,-16411.6796875,-38525.48828125,-51949.58984375, -48833.9140625,0
29160.80078125,-12400.5693359375,-22907.38671875,-34777.99609375,-15623.4892578125,-38250.49609375,-49602.03125, -47264.21484375,0
29538.58984375,-12810.7236328125,-21764.005859375,-35177.7578125,-16202.6904296875,-38676.05078125,-48942.4765625, -47722.6953125,0
28123.322265625,-13498.4638671875,-24342.771484375,-35510.4609375,-17355.16796875,-39189.37890625,-50905.44921875, -49578.40625,0
26891.583984375,-13507.427734375,-26994.11328125,-35334.91015625,-17454.74609375,-39080.9296875,-52738.65234375, -50235.96875,0
27455.83203125,-12894.4755859375,-26157.978515625,-34935.30859375,-16431.818359375,-38544.734375,-51971.16015625, -48850.87890625,0
29042.650390625,-12453.2744140625,-23008.751953125,-34807.65625,-15645.70703125,-38268.9140625,-49660.078125, -47298.7265625,0
29520.931640625,-12768.009765625,-21801.6015625,-35124.4921875,-16174.1025390625,-38632.95703125,-48951.21484375, -47695.8046875,0
28081.435546875,-13493.79296875,-24327.013671875,-35501.65625,-17326.15625,-39167.69921875,-50869.93359375, -49531.109375,0
26772.115234375,-13566.7490234375,-27069.1015625,-35370.94140625,-17492.38671875,-39108.84765625,-52762.2109375, -50262.0546875,0
27365.1953125,-12888.41796875,-26297.966796875,-34900.59375,-16448.0,-38522.96484375,-52037.1171875, -48881.453125,0
28950.60546875,-12434.7890625,-23099.07421875,-34778.15234375,-15637.8388671875,-38235.921875,-49688.12890625, -47282.03125,0
29382.619140625,-12834.5283203125,-21863.716796875,-35177.04296875,-16188.7646484375,-38654.19140625,-48951.28125, -47687.6015625,0
28022.650390625,-13501.0576171875,-24348.91796875,-35506.015625,-17329.3515625,-39162.984375,-50840.71875, -49512.9375,0
26651.572265625,-13580.2265625,-27121.427734375,-35376.88671875,-17507.919921875,-39115.91015625,-52774.92578125, -50283.7578125,0
27252.767578125,-12892.93359375,-26411.693359375,-34911.81640625,-16488.435546875,-38542.38671875,-52114.38671875, -48940.53125,0
28881.001953125,-12415.701171875,-23196.05859375,-34779.29296875,-15651.4287109375,-38246.25,-49756.2109375, -47321.05859375,0
29357.921875,-12798.7431640625,-21886.693359375,-35167.31640625,-16181.6572265625,-38660.78515625,-48970.79296875, -47703.921875,0
27972.134765625,-13505.9521484375,-24335.05859375,-35518.41796875,-17325.41796875,-39189.29296875,-50845.0546875, -49536.13671875,0
26661.228515625,-13577.791015625,-27116.734375,-35385.76171875,-17514.08984375,-39135.15625,-52785.58984375, -50312.703125,0
27171.517578125,-12936.51953125,-26471.908203125,-34945.69921875,-16518.095703125,-38574.70703125,-52159.96484375, -48992.140625,0
28808.693359375,-12432.822265625,-23278.470703125,-34772.1171875,-15651.2724609375,-38253.35546875,-49805.65625, -47351.74609375,0
29321.48828125,-12801.8271484375,-21880.255859375,-35160.76953125,-16151.9296875,-38651.91015625,-48943.3671875, -47660.22265625,0
27963.708984375,-13509.86328125,-24293.708984375,-35509.6796875,-17317.037109375,-39182.80859375,-50789.84765625, -49485.01953125,0
26594.642578125,-13625.265625,-27129.318359375,-35418.28515625,-17530.09375,-39162.4453125,-52770.79296875, -50311.36328125,0
27106.564453125,-12952.322265625,-26545.35546875,-34937.87890625,-16517.044921875,-38584.85546875,-52188.93359375, -49013.15234375,0
28723.421875,-12444.5576171875,-23362.51171875,-34766.0390625,-15657.486328125,-38257.87109375,-49853.91015625, -47363.48046875,0
29303.6953125,-12767.2939453125,-21902.966796875,-35115.484375,-16114.2890625,-38623.5234375,-48956.06640625, -47631.5,0
27962.435546875,-13485.947265625,-24254.5703125,-35491.26171875,-17274.634765625,-39163.765625,-50762.28515625, -49447.9140625,0
26646.38671875,-13566.3017578125,-27082.201171875,-35359.20703125,-17508.255859375,-39123.3984375,-52742.26953125, -50283.9609375,0
27055.06640625,-12971.0751953125,-26573.408203125,-34956.875,-16551.154296875,-38589.39453125,-52219.41796875, -49028.125,0
28659.16015625,-12487.2939453125,-23416.849609375,-34794.37890625,-15696.0654296875,-38272.15625,-49885.44921875, -47378.12109375,0
29320.7734375,-12755.939453125,-21879.5859375,-35105.8046875,-16099.0673828125,-38610.06640625,-48931.4765625, -47598.734375,0
28013.083984375,-13467.26171875,-24160.314453125,-35481.515625,-17248.70703125,-39152.07421875,-50692.75, -49399.94921875,0
26612.791015625,-13610.6923828125,-27036.8046875,-35396.69140625,-17524.751953125,-39155.65234375,-52722.9375, -50293.8828125,0
27071.404296875,-12977.35546875,-26543.947265625,-34948.44921875,-16546.482421875,-38597.10546875,-52206.23046875, -49045.94140625,0
28722.796875,-12445.4736328125,-23352.587890625,-34756.2265625,-15655.4970703125,-38255.79296875,-49849.21875, -47371.37109375,0
29338.140625,-12763.94140625,-21799.076171875,-35110.0546875,-16087.6005859375,-38619.34375,-48891.17578125, -47597.078125,0
28019.7890625,-13502.3984375,-24074.326171875,-35506.88671875,-17266.23046875,-39176.34765625,-50651.9375, -49406.2734375,0
26708.5234375,-13567.822265625,-26948.9609375,-35364.81640625,-17520.90625,-39131.33203125,-52671.75, -50286.44140625,0
